,committing,disadvantaged,decision
35021,Alex Poythress,Lauri Markkanen,CC
35022,Kris Dunn,Kevin Huerter,INC
35023,Robin Lopez,Kent Bazemore,CNC
35024,Kent Bazemore,Zach LaVine,INC
35025,Robin Lopez,Alex Len,CNC
35026,Lauri Markkanen,Kevin Huerter,CNC
35028,Jaylen Adams,Shaquille Harrison,INC
35029,Zach LaVine,Kevin Huerter,CC
35030,Robin Lopez,DeAndre' Bembry,CNC
35032,Kris Dunn,Kent Bazemore,CC
35033,DeAndre' Bembry,Zach LaVine,CC
35034,Wayne Selden,Alex Len,CC
35035,Marc Gasol,Andre Drummond,CNC
35036,Kyle Lowry,Pistons,INC
35037,Danny Green,Reggie Jackson,CNC
35038,Danny Green,Reggie Jackson,CNC
35039,Marc Gasol,Reggie Jackson,CNC
35040,Reggie Jackson,Marc Gasol,CC
35041,Marc Gasol,Reggie Jackson,CNC
35042,Reggie Jackson,Marc Gasol,CC
35043,Andre Drummond,Danny Green,CNC
35045,Danny Green,Blake Griffin,CNC
35047,Andre Drummond,Danny Green,CNC
35048,Marc Gasol,Wayne Ellington,CNC
35049,Marc Gasol,Andre Drummond,CNC
35051,Kyle Lowry,Bruce Brown,CNC
35052,Pistons,Raptors,CC
35053,Marc Gasol,Blake Griffin,CC
35054,Blake Griffin,Danny Green,CNC
35056,Danny Green,Blake Griffin,CC
35057,Pascal Siakam,Wayne Ellington,CNC
35058,Wayne Ellington,Pascal Siakam,CNC
35059,Andre Drummond,Pascal Siakam,CNC
35060,Marc Gasol,Wayne Ellington,CNC
35061,Danny Green,Reggie Jackson,INC
35062,Kyle Lowry,Andre Drummond,IC
35063,Wayne Ellington,Danny Green,INC
35064,Pascal Siakam,Reggie Jackson,CNC
35065,Danny Green,Reggie Jackson,CNC
35066,Wayne Ellington,Kyle Lowry,CNC
35067,OG Anunoby,Luke Kennard,CC
35068,Andre Drummond,Marc Gasol,CNC
35069,Bruce Brown,Kyle Lowry,CNC
35070,Marc Gasol,Blake Griffin,CC
35071,Jonas Valanciunas,Dennis Schroder,CNC
35072,Dennis Schroder,Delon Wright,CNC
35073,Steven Adams,Delon Wright,CNC
35074,Justin Holiday,Dennis Schroder,CNC
35076,Jonas Valanciunas,Dennis Schroder,CNC
35077,Delon Wright,Dennis Schroder,CNC
35078,Avery Bradley,Dennis Schroder,CNC
35079,Terrance Ferguson,Avery Bradley,CNC
35080,Steven Adams,Jonas Valanciunas,CNC
35081,Jerami Grant,Justin Holiday,CNC
35082,Bruno Caboclo,Russell Westbrook,CNC
35083,Jonas Valanciunas,Thunder,CNC
35084,Jonas Valanciunas,Steven Adams,CNC
35085,Steven Adams,Delon Wright,CNC
35086,Jonas Valanciunas,Steven Adams,CNC
35087,Terrance Ferguson,Jonas Valanciunas,CNC
35088,Jonas Valanciunas,Terrance Ferguson,CNC
35089,Steven Adams,Jonas Valanciunas,CNC
35090,Delon Wright,Dennis Schroder,CC
35091,Delon Wright,Terrance Ferguson,CC
35092,Justise Winslow,Alex Poythress,CNC
35094,Alex Poythress,Rodney McGruder,CC
35095,Bam Adebayo,Alex Poythress,CNC
35096,Alex Poythress,Bam Adebayo,CNC
35098,Kevin Huerter,Rodney McGruder,INC
35099,Bam Adebayo,Kevin Huerter,CNC
35100,Dwyane Wade,Alex Poythress,CC
35101,Justise Winslow,Trae Young,CNC
35102,DeAndre' Bembry,Dwyane Wade,CNC
35103,Rodney McGruder,Trae Young,CNC
35104,Trae Young,Bam Adebayo,CC
35105,Vince Carter,Heat,INC
35106,Alex Poythress,Dwyane Wade,CNC
35107,Dwyane Wade,Hawks,CNC
35108,Dwyane Wade,Alex Poythress,CNC
35109,Alex Poythress,Dwyane Wade,CNC
35110,Vince Carter,Kelly Olynyk,CNC
35111,DeAndre' Bembry,Kelly Olynyk,CNC
35112,Vince Carter,Kelly Olynyk,CNC
35113,Kelly Olynyk,Vince Carter,CC
35114,Rodney McGruder,Kent Bazemore,CC
35115,Kent Bazemore,Josh Richardson,CNC
35116,Giannis Antetokounmpo,Tyler Johnson,CNC
35117,Eric Bledsoe,Devin Booker,CNC
35118,Deandre Ayton,Eric Bledsoe,CNC
35119,Malcolm Brogdon,Tyler Johnson,CNC
35120,Brook Lopez,Deandre Ayton,CNC
35121,Deandre Ayton,Giannis Antetokounmpo,CC
35123,Brook Lopez,Devin Booker,CNC
35125,Brook Lopez,Tyler Johnson,CNC
35126,Malcolm Brogdon,Tyler Johnson,CNC
35127,Giannis Antetokounmpo,Deandre Ayton,CNC
35128,Khris Middleton,Kelly Oubre,CNC
35129,Kelly Oubre,Brook Lopez,CNC
35130,Eric Bledsoe,Devin Booker,CNC
35131,Khris Middleton,Kelly Oubre,CNC
35132,Giannis Antetokounmpo,Mikal Bridges,CC
35133,Eric Bledsoe,Tyler Johnson,CNC
35134,Kelly Oubre,Eric Bledsoe,CC
35135,Khris Middleton,Deandre Ayton,CC
35136,Tyler Johnson,Khris Middleton,CNC
35137,Giannis Antetokounmpo,Kelly Oubre,CC
35138,Kelly Oubre,Bucks,CNC
35139,Giannis Antetokounmpo,Kelly Oubre,CC
35140,LaMarcus Aldridge,Will Barton,CNC
35141,Nikola Jokic,LaMarcus Aldridge,CC
35143,Jamal Murray,DeMar DeRozan,CNC
35144,Nikola Jokic,LaMarcus Aldridge,CNC
35145,Rudy Gay,Jamal Murray,CNC
35146,Jamal Murray,Spurs,CNC
35147,LaMarcus Aldridge,Nikola Jokic,CNC
35148,Nikola Jokic,DeMar DeRozan,CNC
35149,Nikola Jokic,Derrick White,CNC
35150,LaMarcus Aldridge,Nikola Jokic,CNC
35151,LaMarcus Aldridge,Jamal Murray,CNC
35152,Paul Millsap,Rudy Gay,CNC
35153,Nikola Jokic,Derrick White,CNC
35154,LaMarcus Aldridge,Jamal Murray,CNC
35155,Rudy Gay,Paul Millsap,CNC
