,committing,disadvantaged,decision
1,Avery Bradley,Stephen Curry,CNC
3,Isaiah Thomas,Andre Iguodala,CNC
4,Jae Crowder,Harrison Barnes,INC
6,Draymond Green,Isaiah Thomas,CC
7,Avery Bradley,Stephen Curry,CC
8,Avery Bradley,Stephen Curry,CC
9,Kenneth Faried,Tyreke Evans,CC
10,Eric Gordon,Ty Lawson,CC
11,Wilson Chandler,Omer Asik,CC
13,Will Barton,Eric Gordon,CC
14,Norris Cole,Danilo Gallinari,CC
15,Dante Cunningham,Wilson Chandler,INC
18,Wilson Chandler,Jimmer Fredette,CC
19,Ty Lawson,Norris Cole,CC
20,Ty Lawson,Tyreke Evans,CC
21,Wilson Chandler,Tyreke Evans,CC
22,Josh Smith,Kevin Love,CNC
23,JR Smith,James Harden,CC
24,Trevor Ariza,LeBron James,CC
25,Terrence Jones,Tristan Thompson,CC
26,Tristan Thompson,Josh Smith,CNC
27,Terrence Jones,LeBron James,CNC
28,Tristan Thompson,Terrence Jones,CC
30,LeBron James,James Harden,CNC
31,LeBron James,James Harden,INC
32,Josh Smith,LeBron James,CNC
33,Trevor Ariza,Tristan Thompson,CNC
34,Kevin Love,Josh Smith,CC
35,James Harden,LeBron James,INC
36,LeBron James,James Harden,INC
38,JR Smith,Josh Smith,CNC
39,Josh Smith,LeBron James,CC
40,JR Smith,James Harden,CC
41,LeBron James,James Harden,CC
43,Deron Williams,Harrison Barnes,CC
44,Andrew Bogut,Jarrett Jack,CNC
45,Brook Lopez,Klay Thompson,CNC
46,Draymond Green,Deron Williams,CNC
48,Andrew Bogut,Brook Lopez,CC
49,Andrew Bogut,Brook Lopez,CNC
50,Brook Lopez,Stephen Curry,CNC
51,Chris Paul,Andrew Wiggins,CC
52,Spencer Hawes,Andrew Wiggins,INC
54,"Saunders, Flip",JJ Redick,CC
55,Kevin Garnett,DeAndre Jordan,CC
58,Dahntay Jones,Gary Neal,IC
59,Jordan Hamilton,Gary Neal,CC
60,Ricky Rubio,Chris Paul,CNC
61,DeAndre Jordan,Adreian Payne,INC
62,Andrew Wiggins,Austin Rivers,CNC
63,Ricky Rubio,DeAndre Jordan,CNC
64,Kevin Garnett,Austin Rivers,CNC
65,Andrew Wiggins,Dahntay Jones,CC
66,Paul Millsap,Terrence Jones,CNC
67,Al Horford,Terrence Jones,CNC
68,Patrick Beverley,Jeff Teague,CNC
69,Al Horford,Trevor Ariza,CNC
70,DeMarre Carroll,Terrence Jones,CC
71,Donatas Motiejunas,Paul Millsap,CNC
73,Trevor Ariza,DeMarre Carroll,CC
74,Patrick Beverley,Paul Millsap,CC
75,Corey Brewer,Jeff Teague,CC
76,Jason Terry,Dennis Schroder,CC
77,Bradley Beal,Nikola Mirotic,INC
78,Tony Snell,John Wall,CNC
79,Nikola Mirotic,John Wall,CNC
81,John Wall,Aaron Brooks,INC
82,Marcin Gortat,Nikola Mirotic,CC
83,Joakim Noah,Otto Porter Jr.,CC
84,Garrett Temple,Pau Gasol,CC
85,Marcin Gortat,Tony Snell,INC
86,Jeremy Lin,Michael Kidd-Gilchrist,CC
88,Jordan Hill,Michael Kidd-Gilchrist,CNC
89,Wesley Johnson,Mo Williams,CC
90,Michael Kidd-Gilchrist,Jeremy Lin,CC
91,Jordan Clarkson,Gerald Henderson,CC
93,Wesley Johnson,Mo Williams,CC
94,Jordan Hill,Cody Zeller,CNC
95,Jordan Clarkson,Mo Williams,CC
97,Tony Allen,Corey Brewer,CC
98,Courtney Lee,James Harden,CC
99,James Harden,Courtney Lee,CNC
100,Corey Brewer,Marc Gasol,CNC
102,Corey Brewer,Courtney Lee,CC
103,Courtney Lee,Terrence Jones,INC
104,Marc Gasol,Terrence Jones,CNC
106,Zach Randolph,James Harden,INC
107,Spencer Hawes,Nicolas Batum,CNC
108,Damian Lillard,Chris Paul,CNC
109,DeAndre Jordan,Wesley Matthews,CNC
113,Chris Paul,LaMarcus Aldridge,CC
115,Hedo Turkoglu,Nicolas Batum,CC
116,Austin Rivers,Nicolas Batum,CC
117,JJ Redick,Damian Lillard,CNC
119,DeAndre Jordan,LaMarcus Aldridge,CNC
120,JJ Redick,Wesley Matthews,INC
121,Nicolas Batum,JJ Redick,CNC
122,Nicolas Batum,DeAndre Jordan,INC
123,Wesley Matthews,Austin Rivers,CC
124,Austin Rivers,Damian Lillard,INC
125,Henry Walker,Jordan Clarkson,CC
126,Hassan Whiteside,Jordan Clarkson,CC
127,Wayne Ellington,Dwyane Wade,CC
128,Jordan Hill,Goran Dragic,CNC
129,Dwyane Wade,Jordan Clarkson,CNC
130,Jordan Hill,Hassan Whiteside,IC
131,Jordan Clarkson,Hassan Whiteside,CC
133,Omer Asik,Greg Monroe,CNC
134,Tyreke Evans,Kentavious Caldwell-Pope,CNC
135,Reggie Jackson,Tyreke Evans,CNC
136,Andre Drummond,Anthony Davis,CC
137,Reggie Jackson,Tyreke Evans,CC
138,Serge Ibaka,Isaiah Canaan,CC
139,Isaiah Canaan,Russell Westbrook,CC
141,Serge Ibaka,Jerami Grant,CNC
142,Serge Ibaka,Nerlens Noel,CNC
143,Jerami Grant,Russell Westbrook,CNC
145,Nerlens Noel,D.J. Augustin,CNC
149,Dion Waiters,Nerlens Noel,CC
150,Luc Mbah a Moute,D.J. Augustin,CNC
151,Serge Ibaka,Luc Mbah a Moute,CC
152,D.J. Augustin,Luc Mbah a Moute,CNC
153,Nerlens Noel,Russell Westbrook,CC
154,Serge Ibaka,Nerlens Noel,CC
155,D.J. Augustin,Jason Richardson,CC
156,Jerami Grant,Russell Westbrook,CC
157,Russell Westbrook,Jason Richardson,CC
158,Jerami Grant,Russell Westbrook,CC
160,Hollis Thompson,Russell Westbrook,CC
161,Jonas Valanciunas,LeBron James,CNC
162,Lou Williams,Kyrie Irving,CC
163,Lou Williams,LeBron James,CC
165,Greivis Vasquez,Kyrie Irving,CC
166,Lou Williams,LeBron James,CC
167,Kyrie Irving,Greivis Vasquez,CNC
169,E'Twaun Moore,Russell Westbrook,CNC
170,Andre Roberson,Aaron Brooks,CNC
171,Enes Kanter,Nikola Mirotic,CNC
172,E'Twaun Moore,Russell Westbrook,CC
174,Pau Gasol,Andre Roberson,CNC
175,Serge Ibaka,Nikola Mirotic,CC
177,Russell Westbrook,E'Twaun Moore,CNC
180,Russell Westbrook,Nikola Mirotic,CC
181,PJ Tucker,Cory Jefferson,CNC
182,Thaddeus Young,Brandon Knight,CC
183,Marcus Morris,Brook Lopez,INC
184,Deron Williams,Marcus Morris,CC
185,Markieff Morris,Deron Williams,INC
187,Thaddeus Young,Brandon Knight,CNC
188,Brook Lopez,Markieff Morris,CNC
189,Joe Johnson,PJ Tucker,INC
190,Jarrett Jack,Eric Bledsoe,CC
191,Marcus Morris,Joe Johnson,CNC
192,Markieff Morris,Jarrett Jack,CC
193,Jarrett Jack,Brandon Knight,CNC
196,Deron Williams,Eric Bledsoe,CC
197,Deron Williams,Eric Bledsoe,CC
198,Jarrett Jack,Brandan Wright,CC
199,Jordan Hill,Jeff Green,CC
202,Wesley Johnson,Mike Conley,CC
203,Jordan Hill,Marc Gasol,CC
205,Jordan Hill,Marc Gasol,CC
207,Jordan Clarkson,Mike Conley,CC
208,Nick Calathes,Wayne Ellington,CC
209,Jeff Green,Carlos Boozer,IC
210,Carlos Boozer,Marc Gasol,CC
211,Wayne Ellington,Nick Calathes,CC
213,DeMarcus Cousins,Victor Oladipo,CNC
214,Dewayne Dedmon,Andre Miller,CNC
215,Dewayne Dedmon,DeMarcus Cousins,CC
217,Dewayne Dedmon,DeMarcus Cousins,INC
218,Aaron Gordon,Omri Casspi,CC
219,Dewayne Dedmon,DeMarcus Cousins,CNC
220,Dewayne Dedmon,DeMarcus Cousins,CNC
221,Andre Miller,Channing Frye,CC
222,Andre Miller,Tobias Harris,CC
223,Omri Casspi,Tobias Harris,CC
224,Garrett Temple,Tyler Johnson,CNC
226,Michael Beasley,Nene,CNC
227,Paul Pierce,Henry Walker,CNC
228,Tyler Johnson,Bradley Beal,CC
229,Shabazz Napier,Bradley Beal,CC
231,Michael Beasley,DeMarcus Cousins,CC
232,Michael Beasley,DeMarcus Cousins,CC
233,Chris Andersen,Rudy Gay,CNC
234,Chris Andersen,Andre Miller,CNC
235,Chris Andersen,Rudy Gay,CNC
236,Henry Walker,DeMarcus Cousins,CNC
237,Chris Andersen,Ray McCallum,CNC
238,Chris Andersen,Rudy Gay,CNC
239,Chris Andersen,DeMarcus Cousins,CNC
240,Ben McLemore,Chris Andersen,CC
242,DeMarcus Cousins,Mario Chalmers,CC
243,Ray McCallum,Chris Andersen,CC
244,Mario Chalmers,Rudy Gay,CC
245,Ben McLemore,Dwyane Wade,CC
246,Henry Walker,Ben McLemore,IC
247,Andre Miller,Dwyane Wade,CC
248,Ray McCallum,Dwyane Wade,CC
249,Chris Andersen,Andre Miller,CC
250,Giannis Antetokounmpo,Paul Pierce,CC
251,Ersan Ilyasova,John Wall,CC
252,Paul Pierce,Michael Carter-Williams,IC
253,Khris Middleton,Garrett Temple,CC
254,Marcin Gortat,Michael Carter-Williams,CNC
255,Marcin Gortat,Jerryd Bayless,CC
256,Giannis Antetokounmpo,Paul Pierce,CC
257,Garrett Temple,Jerryd Bayless,CC
258,Omer Asik,Marc Gasol,CNC
259,Tony Allen,Ryan Anderson,CNC
260,Marc Gasol,Omer Asik,INC
261,Anthony Davis,Tony Allen,CC
262,Marc Gasol,Alexis Ajinca,CNC
263,Anthony Davis,Mike Conley,INC
264,Tyreke Evans,Jeff Green,CC
265,Nick Calathes,Eric Gordon,CNC
266,Jeff Green,Eric Gordon,CC
267,Norris Cole,Mike Conley,CNC
268,Courtney Lee,Tyreke Evans,CC
269,Marc Gasol,Omer Asik,CC
270,Shane Larkin,Rodney Stuckey,CC
271,Roy Hibbert,Shane Larkin,INC
272,Alexey Shved,George Hill,CC
273,Al Horford,Hollis Thompson,CNC
274,Isaiah Canaan,Jeff Teague,CNC
275,Ish Smith,Kent Bazemore,CC
276,Mike Scott,Isaiah Canaan,CNC
277,Jeff Teague,Nerlens Noel,CC
278,Omer Asik,Giannis Antetokounmpo,CNC
279,John Henson,Anthony Davis,CC
280,Quincy Pondexter,Giannis Antetokounmpo,CNC
282,John Henson,Dante Cunningham,CNC
283,Khris Middleton,Dante Cunningham,INC
284,Jerryd Bayless,Norris Cole,CC
285,Jerryd Bayless,Norris Cole,CC
286,Jerryd Bayless,Norris Cole,CNC
288,Jordan Hill,Spencer Dinwiddie,CNC
289,Andre Drummond,Jordan Hill,CNC
290,Carlos Boozer,Greg Monroe,CC
291,Kentavious Caldwell-Pope,Wayne Ellington,CNC
292,Andre Drummond,Jeremy Lin,CC
293,Jeremy Lin,Spencer Dinwiddie,CNC
294,Andre Drummond,Jordan Hill,INC
295,Spencer Dinwiddie,Jeremy Lin,CC
296,Jodie Meeks,Jordan Hill,CC
297,Derrick Favors,Lance Thomas,CNC
298,Langston Galloway,Rodney Hood,CNC
299,Rudy Gobert,Langston Galloway,CNC
300,Joe Ingles,Cole Aldrich,CC
301,Derrick Favors,Andrea Bargnani,CC
302,Alexey Shved,Rodney Hood,CNC
303,Dante Exum,Langston Galloway,CNC
305,Derrick Favors,Andrea Bargnani,CNC
306,Rudy Gobert,Cole Aldrich,CNC
307,Alexey Shved,Trey Burke,CC
308,Dante Exum,Alexey Shved,CC
309,Alexey Shved,Trey Burke,CC
311,Jae Crowder,Jeff Green,CNC
312,Jae Crowder,Zach Randolph,CC
313,Mike Conley,Tyler Zeller,CNC
314,Tyler Zeller,Zach Randolph,CNC
315,Marc Gasol,Marcus Smart,CNC
316,Courtney Lee,Marcus Smart,CC
317,Jae Crowder,Jeff Green,CNC
318,Marc Gasol,Tyler Zeller,CC
319,Brandon Bass,Jeff Green,CNC
320,Tyler Zeller,Jeff Green,CNC
321,Zach Randolph,Jonas Jerebko,INC
324,Elfrid Payton,Michael Carter-Williams,CNC
326,Elfrid Payton,Michael Carter-Williams,CC
327,Jared Dudley,Tobias Harris,CNC
328,Nikola Vucevic,Giannis Antetokounmpo,CNC
329,Channing Frye,Khris Middleton,CC
330,Luc Mbah a Moute,Pau Gasol,CNC
331,E'Twaun Moore,Ish Smith,CNC
332,Pau Gasol,Isaiah Canaan,CNC
334,Nerlens Noel,Pau Gasol,CNC
335,Aaron Brooks,Ish Smith,CC
336,Hollis Thompson,Tony Snell,CNC
337,Aaron Brooks,Jerami Grant,CC
338,Pau Gasol,Isaiah Canaan,CNC
339,Pau Gasol,Ish Smith,CNC
340,Nikola Mirotic,Isaiah Canaan,INC
341,Nerlens Noel,Tony Snell,INC
342,Isaiah Canaan,Mike Dunleavy,CNC
343,Nerlens Noel,Kirk Hinrich,INC
344,Jerami Grant,Nikola Mirotic,CC
345,Nerlens Noel,Tony Snell,CC
346,Pau Gasol,Robert Covington,IC
347,Zaza Pachulia,C.J. Watson,CNC
348,David West,Michael Carter-Williams,CNC
349,CJ Miles,Khris Middleton,CNC
350,David West,Ersan Ilyasova,CC
351,Ersan Ilyasova,Luis Scola,INC
352,Khris Middleton,Rodney Stuckey,CNC
353,Giannis Antetokounmpo,Luis Scola,CNC
354,Ian Mahinmi,Zaza Pachulia,CC
355,Ian Mahinmi,Zaza Pachulia,CC
356,Rodney Stuckey,Zaza Pachulia,CNC
357,Khris Middleton,Rodney Stuckey,CC
358,Luis Scola,Khris Middleton,CNC
359,Giannis Antetokounmpo,George Hill,CC
362,Khris Middleton,George Hill,CNC
363,Luis Scola,Michael Carter-Williams,CNC
364,Zaza Pachulia,George Hill,IC
365,Rodney Stuckey,Khris Middleton,CNC
366,Zaza Pachulia,Rodney Stuckey,CC
367,George Hill,Michael Carter-Williams,CNC
368,Ersan Ilyasova,George Hill,CNC
369,Rodney Stuckey,Khris Middleton,CNC
370,Michael Carter-Williams,George Hill,CC
371,Zaza Pachulia,Solomon Hill,CNC
372,Tim Duncan,Tristan Thompson,CC
373,Danny Green,James Jones,CC
374,Danny Green,LeBron James,CNC
375,Tristan Thompson,Kawhi Leonard,CC
376,Danny Green,Tristan Thompson,INC
377,Kawhi Leonard,Kyrie Irving,CC
378,James Jones,Kawhi Leonard,CC
379,Tristan Thompson,Tony Parker,CNC
381,Tim Duncan,Iman Shumpert,INC
382,Iman Shumpert,Kawhi Leonard,CNC
383,Kawhi Leonard,Iman Shumpert,CC
385,James Jones,Boris Diaw,CC
386,Tristan Thompson,Danny Green,CNC
388,Kevin Love,Tim Duncan,CNC
389,Tony Parker,Kyrie Irving,CC
390,Danny Green,Kevin Love,CNC
391,Danny Green,LeBron James,CNC
392,Iman Shumpert,Tony Parker,CC
393,Kawhi Leonard,Kyrie Irving,CC
394,Tim Duncan,LeBron James,CNC
395,Boris Diaw,Kyrie Irving,CC
396,Danny Green,LeBron James,CC
397,JR Smith,Danny Green,CC
398,Dewayne Dedmon,Avery Bradley,CNC
399,Phil Pressey,Elfrid Payton,CC
400,Phil Pressey,Elfrid Payton,CNC
401,Nikola Vucevic,Avery Bradley,INC
402,Brandon Bass,Victor Oladipo,CNC
403,Maurice Harkless,Brandon Bass,CC
404,Victor Oladipo,Evan Turner,CNC
405,Evan Turner,Elfrid Payton,CNC
406,Jae Crowder,Elfrid Payton,CC
407,Aaron Gordon,Evan Turner,CC
408,Nikola Vucevic,Avery Bradley,INC
409,Tobias Harris,Marcus Smart,CC
410,Rudy Gobert,Kentavious Caldwell-Pope,CNC
411,Kentavious Caldwell-Pope,Gordon Hayward,INC
412,Tayshaun Prince,Rudy Gobert,CC
413,Terrence Jones,Blake Griffin,CNC
414,Trevor Ariza,Matt Barnes,CC
415,Chris Paul,James Harden,CNC
416,DeAndre Jordan,Donatas Motiejunas,CNC
417,Terrence Jones,Blake Griffin,CNC
418,Donatas Motiejunas,Chris Paul,CNC
419,James Harden,Chris Paul,CNC
420,Chris Paul,James Harden,CC
421,Chris Paul,James Harden,CNC
422,Blake Griffin,James Harden,INC
423,Blake Griffin,Trevor Ariza,CC
426,DeAndre Jordan,James Harden,CC
427,DeAndre Jordan,Terrence Jones,CNC
428,Trevor Ariza,Chris Paul,CNC
429,Tyreke Evans,Jameer Nelson,INC
430,Tyreke Evans,Jameer Nelson,CNC
431,Kenneth Faried,Anthony Davis,CNC
432,Will Barton,Dante Cunningham,CNC
433,Kenneth Faried,Tyreke Evans,CNC
434,Dante Cunningham,Danilo Gallinari,INC
436,Kenneth Faried,Anthony Davis,CNC
438,Anthony Davis,Kenneth Faried,CNC
439,Kenneth Faried,Anthony Davis,CC
440,Danilo Gallinari,Tyreke Evans,CNC
441,Will Barton,Tyreke Evans,CNC
442,Tyreke Evans,Ty Lawson,CNC
443,Danilo Gallinari,Eric Gordon,CNC
444,Dante Cunningham,Ty Lawson,CNC
445,Danilo Gallinari,Tyreke Evans,CNC
448,Kenneth Faried,Anthony Davis,CNC
449,Will Barton,Tyreke Evans,CNC
450,Danilo Gallinari,Anthony Davis,CC
451,Kenneth Faried,Norris Cole,CNC
452,Dante Cunningham,Kenneth Faried,INC
453,Kenneth Faried,Anthony Davis,INC
455,Tyreke Evans,Danilo Gallinari,INC
456,Dante Cunningham,Danilo Gallinari,CC
457,Tyreke Evans,Danilo Gallinari,INC
458,Tyreke Evans,Danilo Gallinari,INC
460,Eric Gordon,Danilo Gallinari,CNC
461,Dante Cunningham,Danilo Gallinari,CC
462,Tyreke Evans,Will Barton,CC
463,Enes Kanter,Tony Snell,CNC
464,Nikola Mirotic,Andre Roberson,CNC
465,Tony Snell,Russell Westbrook,CC
466,Russell Westbrook,Nikola Mirotic,CNC
467,Dion Waiters,E'Twaun Moore,CNC
469,Enes Kanter,E'Twaun Moore,CNC
470,Andre Roberson,Aaron Brooks,CNC
471,Pau Gasol,Enes Kanter,CC
472,D.J. Augustin,Nikola Mirotic,CC
473,E'Twaun Moore,Russell Westbrook,CC
475,E'Twaun Moore,Russell Westbrook,CC
476,Steven Adams,Dirk Nowitzki,CC
477,Enes Kanter,Dirk Nowitzki,CNC
478,Steven Adams,Tyson Chandler,CC
479,Andre Roberson,Rajon Rondo,CNC
480,Rajon Rondo,Russell Westbrook,CNC
481,Tyson Chandler,Enes Kanter,CNC
482,Tyson Chandler,Dion Waiters,CNC
483,D.J. Augustin,Chandler Parsons,CNC
484,Russell Westbrook,Rajon Rondo,CC
485,Russell Westbrook,Chandler Parsons,CC
486,Dion Waiters,Monta Ellis,CC
487,Mitch McGary,Monta Ellis,CC
488,Enes Kanter,Richard Jefferson,CC
489,Tyson Chandler,Dion Waiters,CNC
490,Dion Waiters,Monta Ellis,CC
491,Enes Kanter,Monta Ellis,CNC
493,Jordan Hill,Draymond Green,CNC
494,Andrew Bogut,Wayne Ellington,CNC
495,Klay Thompson,Jordan Clarkson,INC
496,Draymond Green,Jordan Clarkson,IC
497,Wesley Johnson,Stephen Curry,CC
498,Draymond Green,Wayne Ellington,CC
499,Jordan Clarkson,Stephen Curry,CC
501,Paul Millsap,DeMarcus Cousins,CC
502,Omri Casspi,Jeff Teague,INC
504,Pero Antic,DeMarcus Cousins,CNC
505,Paul Millsap,DeMarcus Cousins,CC
506,Ben McLemore,Shelvin Mack,CC
507,Jeff Teague,Nik Stauskas,CC
509,Ray McCallum,Jeff Teague,CC
511,Ben McLemore,Jeff Teague,CC
512,Zaza Pachulia,Quincy Pondexter,CNC
513,Quincy Pondexter,Khris Middleton,CNC
515,Eric Gordon,Jerryd Bayless,CC
516,Zaza Pachulia,Eric Gordon,INC
517,Khris Middleton,Tyreke Evans,INC
518,Anthony Davis,Jerryd Bayless,CC
519,Jerryd Bayless,Eric Gordon,CNC
521,Zaza Pachulia,Anthony Davis,CNC
522,Kawhi Leonard,Langston Galloway,CNC
523,Tim Duncan,Langston Galloway,CNC
524,Lou Amundson,Tony Parker,CC
525,Tim Duncan,Lance Thomas,CNC
526,Lance Thomas,Kawhi Leonard,CC
527,Lou Amundson,Tony Parker,CNC
528,Tiago Splitter,Jason Smith,INC
529,Shane Larkin,Tiago Splitter,CNC
531,Tim Duncan,Langston Galloway,CNC
532,Tim Duncan,Langston Galloway,CC
534,Jason Smith,Boris Diaw,CNC
535,Andrea Bargnani,Tony Parker,CNC
536,Lance Thomas,Kawhi Leonard,CC
537,Langston Galloway,Kawhi Leonard,CNC
538,Lou Amundson,Tim Duncan,INC
539,Boris Diaw,Alexey Shved,CC
541,Marco Belinelli,Lance Thomas,CNC
542,Lance Thomas,Kawhi Leonard,CNC
545,Tim Duncan,Alexey Shved,INC
546,Boris Diaw,Jason Smith,CC
547,Lou Amundson,Tim Duncan,CC
548,Boris Diaw,Lou Amundson,CC
549,Jason Smith,Tim Duncan,INC
550,Tony Parker,Alexey Shved,CC
551,Monta Ellis,Channing Frye,CNC
552,Channing Frye,Dirk Nowitzki,CNC
553,Nikola Vucevic,Dirk Nowitzki,CNC
555,Nikola Vucevic,Monta Ellis,CC
558,Al-Farouq Aminu,Elfrid Payton,CC
559,Elfrid Payton,Devin Harris,CC
560,Tyson Chandler,Victor Oladipo,CNC
561,Maurice Harkless,Monta Ellis,CC
564,Maurice Harkless,Devin Harris,CC
565,Nikola Vucevic,Rajon Rondo,INC
566,Victor Oladipo,Al-Farouq Aminu,CC
567,Devin Harris,Victor Oladipo,CNC
568,Udonis Haslem,LaMarcus Aldridge,CNC
569,Hassan Whiteside,Robin Lopez,CNC
570,Udonis Haslem,Nicolas Batum,CNC
572,CJ McCollum,Dwyane Wade,CC
573,Amir Johnson,Gorgui Dieng,CNC
575,Lou Williams,Gorgui Dieng,CNC
576,DeMar DeRozan,Kevin Martin,CNC
577,Ricky Rubio,Patrick Patterson,CC
578,Derrick Favors,Jordan Hill,CNC
579,Wesley Johnson,Gordon Hayward,CC
580,Jordan Hill,Elijah Millsap,CNC
581,Wesley Johnson,Elijah Millsap,CC
582,Rudy Gobert,Tarik Black,CC
583,Jabari Brown,Gordon Hayward,CC
584,Jordan Clarkson,Trey Burke,CC
585,Shane Larkin,Andrew Wiggins,CC
587,Andrew Wiggins,Quincy Acy,INC
588,Gorgui Dieng,Shane Larkin,CC
589,Gorgui Dieng,Alexey Shved,CC
590,Lance Thomas,Kevin Martin,CNC
591,Gorgui Dieng,Cole Aldrich,CNC
592,Alexey Shved,Andrew Wiggins,CNC
593,Alexey Shved,Andrew Wiggins,CC
594,Gorgui Dieng,Langston Galloway,CNC
596,Andrew Wiggins,Alexey Shved,CNC
597,Alexey Shved,Andrew Wiggins,CNC
598,Alexey Shved,Andrew Wiggins,CC
599,Kevin Martin,Andrea Bargnani,CNC
600,Alexey Shved,Andrew Wiggins,INC
601,Andrea Bargnani,Andrew Wiggins,CNC
602,Gorgui Dieng,Langston Galloway,CNC
603,Chase Budinger,Alexey Shved,INC
604,Gorgui Dieng,Alexey Shved,CNC
605,Langston Galloway,Zach LaVine,CC
606,Lorenzo Brown,Alexey Shved,CNC
607,Langston Galloway,Zach LaVine,IC
608,Alexis Ajinca,PJ Tucker,CNC
609,Dante Cunningham,Marcus Morris,CNC
610,Markieff Morris,Norris Cole,CNC
612,Tyreke Evans,Marcus Morris,CNC
613,Markieff Morris,Dante Cunningham,CNC
614,Quincy Pondexter,PJ Tucker,INC
615,Alexis Ajinca,Marcus Morris,CNC
616,Marcus Morris,Tyreke Evans,CNC
618,Eric Bledsoe,Alexis Ajinca,INC
619,Tyreke Evans,PJ Tucker,CC
620,Bojan Bogdanovic,Khris Middleton,INC
622,Brook Lopez,Giannis Antetokounmpo,CNC
623,Thaddeus Young,Giannis Antetokounmpo,INC
624,Brook Lopez,Michael Carter-Williams,CNC
625,Brook Lopez,Khris Middleton,CNC
626,Michael Carter-Williams,Jarrett Jack,CNC
627,Joe Johnson,Giannis Antetokounmpo,CC
628,Joe Johnson,Giannis Antetokounmpo,CNC
629,Zaza Pachulia,Joe Johnson,CNC
630,Zaza Pachulia,Alan Anderson,CNC
631,Thaddeus Young,Ersan Ilyasova,CNC
632,Giannis Antetokounmpo,Joe Johnson,CNC
633,Brook Lopez,Zaza Pachulia,CNC
634,Alan Anderson,Ersan Ilyasova,CC
636,Jarrett Jack,Giannis Antetokounmpo,CC
637,Ersan Ilyasova,Brook Lopez,CNC
638,Bojan Bogdanovic,Giannis Antetokounmpo,CNC
639,Khris Middleton,Joe Johnson,CNC
640,Deron Williams,Khris Middleton,CC
641,Deron Williams,Michael Carter-Williams,CC
642,Brook Lopez,Michael Carter-Williams,CNC
643,Brook Lopez,Giannis Antetokounmpo,CC
644,Brook Lopez,Michael Carter-Williams,CNC
645,Thaddeus Young,Zaza Pachulia,CNC
646,Thaddeus Young,Zaza Pachulia,CNC
647,Brook Lopez,Zaza Pachulia,INC
648,Giannis Antetokounmpo,Jarrett Jack,INC
649,Jarrett Jack,Giannis Antetokounmpo,CC
650,Ersan Ilyasova,Thaddeus Young,CC
651,Giannis Antetokounmpo,Joe Johnson,CC
652,Brook Lopez,Giannis Antetokounmpo,INC
653,Ersan Ilyasova,Brook Lopez,CC
654,Michael Carter-Williams,Brook Lopez,CC
655,Brook Lopez,Zaza Pachulia,CC
656,Thaddeus Young,John Henson,CC
657,Brook Lopez,Michael Carter-Williams,CNC
658,Michael Carter-Williams,Jarrett Jack,CC
659,Giannis Antetokounmpo,Thaddeus Young,CNC
660,Bojan Bogdanovic,Giannis Antetokounmpo,CC
661,Jarrett Jack,Michael Carter-Williams,CNC
662,Khris Middleton,Thaddeus Young,CC
663,Giannis Antetokounmpo,Thaddeus Young,CC
664,Zaza Pachulia,Joe Johnson,CNC
665,Michael Carter-Williams,Jarrett Jack,CC
666,Jerryd Bayless,Joe Johnson,CC
667,CJ Miles,LeBron James,CNC
668,Solomon Hill,Kevin Love,INC
669,Kevin Love,Solomon Hill,CNC
670,Luis Scola,Kevin Love,CC
671,Kyrie Irving,Solomon Hill,CNC
672,Tristan Thompson,Roy Hibbert,CC
673,Kevin Love,Roy Hibbert,CNC
674,CJ Miles,JR Smith,CC
675,Avery Bradley,Reggie Jackson,CC
676,Phil Pressey,Reggie Jackson,CC
677,Tayshaun Prince,Kelly Olynyk,CNC
678,Kentavious Caldwell-Pope,Jae Crowder,CC
680,Gerald Wallace,Reggie Jackson,INC
681,Reggie Jackson,Evan Turner,CNC
682,Jae Crowder,Tayshaun Prince,CNC
684,Reggie Jackson,Evan Turner,CC
685,Jonas Jerebko,Kentavious Caldwell-Pope,CNC
686,Reggie Jackson,Tyler Zeller,INC
687,Reggie Jackson,Avery Bradley,CC
688,Kentavious Caldwell-Pope,Jonas Jerebko,CNC
689,Andre Drummond,Kelly Olynyk,CC
690,Kentavious Caldwell-Pope,Jae Crowder,CC
691,Reggie Jackson,Kelly Olynyk,CC
692,Avery Bradley,Reggie Jackson,CNC
693,Kentavious Caldwell-Pope,Jae Crowder,CNC
694,Evan Turner,Reggie Jackson,CC
695,Avery Bradley,Reggie Jackson,CC
696,Jonas Jerebko,Tayshaun Prince,CC
697,Evan Turner,Reggie Jackson,INC
698,Jonas Jerebko,Jodie Meeks,CC
699,Jonas Jerebko,Reggie Jackson,CC
700,Brandon Bass,Reggie Jackson,CNC
702,Anthony Tolliver,Evan Turner,CC
703,Evan Turner,Kentavious Caldwell-Pope,CC
704,PJ Tucker,Monta Ellis,CNC
705,Markieff Morris,Chandler Parsons,CNC
706,Rajon Rondo,Markieff Morris,CC
707,Tyson Chandler,PJ Tucker,INC
709,Monta Ellis,PJ Tucker,INC
711,Tyson Chandler,Archie Goodwin,INC
712,Archie Goodwin,Tyson Chandler,IC
713,PJ Tucker,Tyson Chandler,INC
714,Al-Farouq Aminu,Alex Len,INC
715,Alex Len,Al-Farouq Aminu,INC
717,Tyson Chandler,Markieff Morris,CNC
718,PJ Tucker,Monta Ellis,CNC
719,Monta Ellis,Eric Bledsoe,CC
